iter	Passed	Remaining
0	70	35258
1	127	31847
2	190	31580
3	253	31379
4	312	30956
5	370	30511
6	429	30231
7	485	29874
8	554	30248
9	619	30362
10	679	30191
11	737	29975
12	798	29930
13	855	29690
14	920	29760
15	990	29959
16	1055	29985
17	1116	29890
18	1176	29788
19	1234	29632
20	1291	29468
21	1352	29380
22	1413	29309
23	1471	29193
24	1531	29102
25	1593	29044
26	1650	28915
27	1707	28785
28	1764	28661
29	1820	28517
30	1877	28410
31	1934	28295
32	1992	28199
33	2049	28085
34	2104	27954
35	2161	27859
36	2218	27760
37	2275	27664
38	2331	27560
39	2388	27465
40	2445	27376
41	2505	27319
42	2562	27238
43	2618	27133
44	2676	27067
45	2734	26987
46	2800	26990
47	2863	26961
48	2924	26918
49	2979	26813
50	3039	26756
51	3096	26673
52	3153	26598
53	3211	26523
54	3267	26436
55	3327	26380
56	3382	26291
57	3444	26248
58	3515	26276
59	3580	26253
60	3638	26187
61	3694	26101
62	3754	26043
63	3811	25964
64	3871	25910
65	3930	25845
66	3986	25761
67	4043	25690
68	4100	25610
69	4157	25540
70	4215	25473
71	4274	25409
72	4336	25366
73	4393	25291
74	4452	25230
75	4509	25159
76	4565	25082
77	4623	25016
78	4683	24960
79	4739	24884
80	4799	24829
81	4856	24756
82	4917	24704
83	4977	24649
84	5034	24578
85	5093	24519
86	5149	24443
87	5206	24378
88	5262	24304
89	5321	24241
90	5378	24172
91	5433	24096
92	5492	24038
93	5546	23957
94	5605	23895
95	5660	23822
96	5719	23761
97	5778	23703
98	5836	23640
99	5859	23437
100	5923	23400
101	5980	23336
102	6043	23292
103	6106	23250
104	6166	23196
105	6223	23131
106	6283	23080
107	6339	23009
108	6401	22963
109	6458	22898
110	6515	22833
111	6574	22777
112	6630	22707
113	6689	22649
114	6744	22580
115	6807	22535
116	6865	22472
117	6924	22416
118	6980	22350
119	7037	22286
120	7092	22215
121	7150	22156
122	7206	22088
123	7267	22038
124	7336	22010
125	7393	21946
126	7449	21880
127	7507	21819
128	7563	21752
129	7621	21692
130	7676	21622
131	7735	21565
132	7790	21496
133	7846	21432
134	7903	21368
135	7959	21304
136	8019	21248
137	8073	21178
138	8131	21119
139	8186	21050
140	8243	20988
141	8298	20920
142	8356	20861
143	8413	20801
144	8468	20732
145	8526	20674
146	8583	20612
147	8642	20555
148	8705	20506
149	8760	20440
150	8820	20386
151	8879	20329
152	8938	20271
153	8996	20212
154	9050	20145
155	9119	20110
156	9216	20134
157	9272	20070
158	9329	20007
159	9386	19946
160	9440	19877
161	9496	19814
162	9550	19744
163	9608	19685
164	9662	19618
165	9721	19561
166	9777	19495
167	9837	19440
168	9903	19397
169	9963	19341
170	10027	19291
171	10085	19232
172	10140	19167
173	10196	19104
174	10253	19041
175	10309	18978
176	10372	18927
177	10433	18874
178	10492	18816
179	10552	18759
180	10609	18698
181	10666	18636
182	10724	18577
183	10783	18518
184	10843	18462
185	10903	18406
186	10962	18348
187	11023	18293
188	11081	18234
189	11138	18172
190	11194	18110
191	11252	18050
192	11312	17995
193	11369	17932
194	11428	17875
195	11486	17816
196	11542	17753
197	11601	17695
198	11656	17631
199	11713	17570
200	11771	17511
201	11833	17457
202	11897	17407
203	11955	17347
204	12010	17283
205	12069	17225
206	12123	17161
207	12180	17099
208	12234	17035
209	12292	16975
210	12346	16910
211	12406	16854
212	12474	16808
213	12545	16765
214	12615	16723
215	12684	16678
216	12750	16628
217	12818	16582
218	12887	16535
219	12949	16481
220	13015	16430
221	13084	16385
222	13146	16330
223	13203	16268
224	13265	16213
225	13327	16157
226	13384	16096
227	13445	16040
228	13502	15979
229	13562	15920
230	13630	15872
231	13699	15824
232	13762	15770
233	13819	15709
234	13878	15649
235	13934	15587
236	13991	15526
237	14051	15468
238	14123	15423
239	14187	15369
240	14245	15309
241	14305	15250
242	14363	15190
243	14421	15130
244	14479	15070
245	14538	15011
246	14599	14953
247	14653	14889
248	14711	14829
249	14767	14767
250	14829	14711
251	14889	14653
252	14947	14592
253	15004	14532
254	15062	14471
255	15116	14408
256	15177	14350
257	15236	14291
258	15298	14235
259	15359	14177
260	15415	14115
261	15472	14055
262	15529	13994
263	15586	13933
264	15645	13874
265	15705	13815
266	15763	13756
267	15822	13697
268	15884	13640
269	15945	13582
270	16003	13523
271	16058	13460
272	16118	13402
273	16180	13346
274	16241	13288
275	16304	13232
276	16364	13174
277	16429	13119
278	16489	13061
279	16552	13005
280	16609	12944
281	16669	12886
282	16733	12830
283	16792	12772
284	16850	12711
285	16915	12656
286	16976	12599
287	17037	12541
288	17100	12485
289	17162	12427
290	17219	12367
291	17278	12307
292	17340	12250
293	17397	12189
294	17458	12132
295	17516	12071
296	17572	12011
297	17630	11950
298	17688	11890
299	17748	11832
300	17807	11773
301	17866	11713
302	17926	11655
303	17986	11596
304	18050	11540
305	18115	11485
306	18179	11429
307	18241	11371
308	18299	11311
309	18358	11251
310	18412	11189
311	18475	11132
312	18533	11072
313	18592	11013
314	18652	10954
315	18714	10897
316	18770	10836
317	18835	10779
318	18899	10723
319	18957	10663
320	19013	10602
321	19071	10542
322	19127	10481
323	19186	10422
324	19241	10360
325	19300	10301
326	19356	10240
327	19413	10180
328	19474	10122
329	19533	10062
330	19596	10005
331	19658	9947
332	19714	9886
333	19774	9828
334	19831	9767
335	19890	9708
336	19946	9647
337	20000	9586
338	20059	9527
339	20116	9466
340	20171	9405
341	20227	9344
342	20281	9283
343	20340	9224
344	20394	9162
345	20452	9103
346	20511	9044
347	20568	8983
348	20623	8922
349	20679	8862
350	20736	8802
351	20793	8742
352	20853	8683
353	20912	8625
354	20967	8564
355	21025	8504
356	21080	8444
357	21136	8383
358	21193	8323
359	21263	8269
360	21321	8209
361	21379	8150
362	21436	8090
363	21490	8029
364	21549	7970
365	21605	7910
366	21662	7850
367	21718	7790
368	21775	7730
369	21831	7670
370	21891	7611
371	21950	7552
372	22005	7492
373	22062	7432
374	22116	7372
375	22176	7313
376	22233	7253
377	22287	7193
378	22347	7134
379	22403	7074
380	22459	7015
381	22514	6954
382	22569	6894
383	22623	6834
384	22682	6775
385	22736	6715
386	22793	6655
387	22854	6597
388	22911	6537
389	22969	6478
390	23025	6418
391	23083	6359
392	23139	6300
393	23194	6240
394	23249	6180
395	23304	6120
396	23363	6061
397	23417	6001
398	23474	5942
399	23531	5882
400	23586	5823
401	23643	5763
402	23699	5704
403	23756	5645
404	23812	5585
405	23877	5528
406	23936	5469
407	23991	5409
408	24049	5350
409	24106	5291
410	24163	5232
411	24219	5173
412	24276	5113
413	24335	5055
414	24392	4996
415	24452	4937
416	24508	4878
417	24562	4818
418	24620	4759
419	24680	4700
420	24738	4642
421	24793	4582
422	24854	4524
423	24912	4465
