index,name,strike_accuracy,takedown_accuracy,connected_strikes_per_minute,absorved_strikes_per_minute,strikes_defense,takedown_defense,takedown_avg,submission_avg,knockdown_avg,avg_fight_time,weight,height,reach,division,age,Wins,Losses,win_by_ko_tko_win,win_by_ko_tko_win_percent,win_by_dec_win,win_by_dec_win_percent,win_by_sub_win,win_by_sub_win_percent
1.0,Hamdy Abdelwahab,0.52,0.8,3.4,3.87,0.51,1.0,2.0,0.0,0.5,15.0,260.0,74.0,72.0,Heavyweight Division,32.0,6,0,5.0,1.0,0.0,0.0,0.0,0.0
3.0,Ricardo Abreu,0.32,0.43,3.79,3.98,0.68,1.0,2.13,0.71,1.42,10.55,183.0,71.0,73.0,Middleweight Division,39.0,5,-1,3.0,0.6,0.0,0.0,2.0,0.4
4.0,Israel Adesanya,0.48,0.11,4.02,3.2,0.56,0.77,0.05,0.14,0.62,17.58,185.0,76.0,80.0,Middleweight Division,35.0,24,-5,16.0,0.67,8.0,0.33,0.0,0.0
6.0,Jesus Aguilar,0.46,0.35,1.73,1.1,0.59,0.4,1.83,1.83,0.3,8.2,125.5,64.0,62.5,Flyweight Division,28.0,11,-3,1.0,0.09,3.0,0.27,7.0,0.64
7.0,Abdul-Kareem Al-Selwady,0.35,0.31,4.14,3.6,0.59,0.2,2.32,0.0,0.0,12.92,155.0,68.0,69.0,Lightweight Division,29.0,15,-4,8.0,0.53,5.0,0.33,2.0,0.13
9.0,Amir Albazi,0.35,0.32,2.72,3.71,0.62,0.5,1.39,0.52,0.35,14.42,125.5,65.0,68.0,Flyweight Division,31.0,17,-2,5.0,0.29,3.0,0.18,9.0,0.53
10.0,Irene Aldana,0.4,0.5,5.19,6.64,0.56,0.78,0.15,0.22,0.22,14.65,136.0,69.0,68.5,Women's Bantamweight Division,36.0,15,-8,8.0,0.53,4.0,0.27,3.0,0.2
11.0,Jose Alday,0.44,0.0,3.13,3.13,0.59,0.57,0.0,0.0,0.0,15.0,136.0,67.0,68.0,Bantamweight Division,31.0,0,-1,0.0,0.0,0.0,0.0,0.0,0.0
12.0,José Aldo,0.47,0.54,3.62,3.72,0.61,0.93,0.49,0.14,0.39,14.25,136.0,67.0,70.0,Bantamweight Division,38.0,32,-9,17.0,0.53,14.0,0.44,1.0,0.03
14.0,Talita Alencar,0.28,0.14,2.49,4.8,0.53,0.5,2.0,0.0,0.0,15.0,123.1,61.0,58.5,Women's Strawweight Division,33.0,5,-1,0.0,0.0,2.0,0.4,3.0,0.6
15.0,Lucas Alexander,0.57,0.0,4.69,2.87,0.57,0.6,0.0,0.0,0.54,6.98,148.5,71.0,73.0,Featherweight Division,29.0,8,-5,3.0,0.38,5.0,0.63,0.0,0.0
