,RedFighter,BlueFighter,RedOdds,BlueOdds,Date,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,Finish,FinishRoundTime,TotalFightTimeSecs
0,Alexandre Pantoja,Kai Asakura,-250.0,215.0,2024-12-07,Red,True,Flyweight,1,5,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1.0,172.72,175.26,125,0,6,0,4.41,0.49,0.8,2.61,0.47,6,3,42,3,0,2,4,2,4,0,12,1.0,165.1,170.18,125,34,31,SUB,2:05,425.0
1,Shavkat Rakhmonov,Ian Machado Garry,-210.0,295.0,2024-12-07,Red,False,Welterweight,1,3,0,8,0,5.5,0.55,0.3,0.77,0.55,8,0,20,0,0,1,4,3,0,0,8,1.0,190.5,187.96,170,0,6,0,4.12,0.61,1.8,1.49,0.29,6,0,11,0,0,0,0,1,5,0,6,1.0,185.42,195.58,170,30,27,U-DEC,5:00,1500.0
2,Ciryl Gane,Alexander Volkov,-380.0,300.0,2024-12-07,Red,False,Heavyweight,1,3,0,4,0,5.13,0.57,0.2,0.45,0.63,4,4,44,0,0,1,4,6,1,0,12,1.0,200.66,203.2,250,0,1,0,5.49,0.6,0.5,0.58,0.21,7,2,33,3,0,0,3,4,2,0,9,1.0,193.04,205.74,245,34,36,S-DEC,5:00,900.0
3,Bryce Mitchell,Kron Gracie,-950.0,625.0,2024-12-07,Red,False,Featherweight,1,3,2,0,0,3.74,0.44,0.5,0.47,0.25,1,2,7,0,0,0,0,0,1,0,1,0.0,175.26,177.8,145,1,0,0,2.3,0.58,1.6,3.45,0.41,6,2,22,0,1,0,5,0,1,0,7,0.0,177.8,177.8,145,30,36,KO/TKO,0:39,639.0
4,Nate Landwehr,Dooho Choi,-130.0,110.0,2024-12-07,Blue,False,Featherweight,1,3,0,1,1,4.41,0.53,0.8,0.75,0.37,3,3,15,0,0,0,0,4,0,0,4,1.0,177.8,177.8,145,0,1,0,6.25,0.46,1.0,1.0,0.41,3,3,17,0,1,0,1,1,2,0,5,1.0,175.26,182.88,145,36,33,KO/TKO,3:21,801.0
5,Dominick Reyes,Anthony Smith,-380.0,300.0,2024-12-07,Red,False,Light Heavyweight,1,3,1,0,0,3.24,0.49,0.6,0.46,0.26,3,12,63,1,0,1,1,7,6,0,15,1.0,193.04,193.04,205,0,1,0,4.87,0.5,0.3,0.35,0.28,6,4,21,2,0,1,1,4,1,0,7,0.0,193.04,195.58,205,34,36,KO/TKO,4:46,586.0
6,Vicente Luque,Themba Gorimbo,-650.0,-162.0,2024-12-07,Red,False,Welterweight,1,3,0,4,0,3.11,0.61,0.6,4.89,0.65,4,1,12,0,0,0,3,1,0,0,4,1.0,185.42,195.58,170,1,0,0,5.07,0.52,0.6,1.0,0.53,6,6,47,0,0,1,1,8,5,0,15,1.0,180.34,190.5,170,33,33,SUB,0:52,52.0
7,Movsar Evloev,Aljamain Sterling,-238.0,195.0,2024-12-07,Red,False,Featherweight,1,3,0,1,0,4.61,0.52,0.7,2.31,0.27,9,4,57,5,0,2,7,2,4,0,16,1.0,170.18,180.34,145,0,8,0,4.43,0.48,0.2,4.75,0.46,8,0,24,0,0,1,7,0,0,0,8,1.0,170.18,182.88,145,30,35,U-DEC,5:00,900.0
8,Randy Brown,Bryan Battle,150.0,-180.0,2024-12-07,Blue,False,Welterweight,1,3,0,3,0,5.44,0.53,0.5,0.96,0.23,3,1,16,0,0,0,1,3,2,0,6,1.0,185.42,195.58,170,0,3,0,4.38,0.47,0.6,0.72,0.39,4,5,43,0,0,1,6,3,3,0,13,1.0,190.5,198.12,170,34,30,S-DEC,5:00,900.0
9,Chris Weidman,Eryk Anders,-112.0,-108.0,2024-12-07,Blue,False,Catch Weight,1,3,0,1,0,3.41,0.47,0.1,1.79,0.26,2,8,44,0,0,1,3,4,0,0,8,0.0,185.42,190.5,185,0,1,0,3.18,0.45,0.8,3.44,0.42,9,7,46,5,0,0,5,4,3,0,12,1.0,187.96,198.12,185,40,37,KO/TKO,4:51,591.0
10,Cody Durden,Joshua Van,142.0,-170.0,2024-12-07,Blue,False,Flyweight,1,3,0,1,0,8.39,0.53,0.0,1.62,0.63,3,1,14,0,0,1,2,1,0,0,4,1.0,165.1,165.1,125,0,1,1,3.35,0.5,0.9,4.36,0.5,4,4,24,0,0,0,4,1,1,0,6,0.0,170.18,170.18,125,33,23,U-DEC,5:00,900.0
11,Michael Chiesa,Max Griffin,-130.0,110.0,2024-12-07,Red,False,Welterweight,1,3,0,1,0,3.92,0.49,0.3,1.45,0.41,3,8,44,0,1,2,2,3,0,0,8,1.0,180.34,193.04,170,0,1,0,1.86,0.4,1.0,3.35,0.51,4,7,41,1,0,0,5,0,7,0,12,0.0,185.42,190.5,170,37,39,SUB,1:56,716.0
12,Clay Guida,Chase Hooper,700.0,-1100.0,2024-12-07,Blue,False,Lightweight,1,3,0,3,0,5.08,0.52,2.3,1.45,0.24,3,3,23,0,0,0,2,2,3,0,7,0.0,185.42,187.96,155,2,0,0,2.64,0.33,0.6,3.13,0.36,4,19,105,2,0,4,9,2,5,0,20,1.0,170.18,177.8,155,42,25,SUB,3:41,221.0
13,Kennedy Nzechukwu,Lukasz Brzeski,-550.0,410.0,2024-12-07,Red,False,Heavyweight,1,3,1,0,0,4.9,0.5,0.5,0.46,0.5,1,4,14,0,0,0,1,0,1,0,2,1.0,193.04,198.12,236,0,1,0,5.34,0.47,0.2,0.58,0.45,3,5,31,0,0,1,1,6,1,0,9,0.0,195.58,210.82,205,32,32,KO/TKO,4:51,291.0
14,Petr Yan,Deiveson Figueiredo,-305.0,245.0,2024-11-23,Red,False,Bantamweight,1,5,0,3,1,2.91,0.54,1.4,1.62,0.34,5,3,44,6,0,1,4,4,4,0,13,1.0,165.1,172.72,135,0,1,0,5.11,0.54,0.1,1.61,0.49,7,4,45,4,0,0,5,4,0,0,9,,170.18,170.18,135,31,36,U-DEC,5:00,1500.0
15,Yan Xiaonan,Tabatha Ricci,-198.0,164.0,2024-11-23,Red,False,Women's Strawweight,0,3,0,2,0,4.18,0.36,0.1,2.74,0.37,4,2,22,0,0,1,4,0,1,0,6,1.0,154.94,154.94,115,1,0,0,4.99,0.45,0.0,0.92,0.73,6,3,34,1,1,0,6,1,0,0,8,1.0,165.1,160.02,115,35,29,U-DEC,5:00,900.0
16,Song Kenan,Muslim Salikhov,,-230.0,2024-11-23,Blue,False,Welterweight,1,3,0,1,0,3.38,0.49,0.0,1.08,0.32,5,4,26,0,0,2,2,3,0,0,7,1.0,180.34,177.8,170,0,1,0,4.49,0.46,0.0,0.42,0.3,2,4,23,0,0,0,3,3,0,0,6,1.0,182.88,180.34,170,34,40,KO/TKO,3:49,229.0
