Fighter Name
Danny Abbadi
Nariman Abbassov
Tank Abbott
Hamdy Abdelwahab
Mansur Abdul-Malik
Shamil Abdurakhimov
Daichi Abe
Papy Abedi
Ricardo Abreu
Klidson Abreu
John Adajar
Juan Adams
Scott Adams
Anthony Adams
Zarrukh Adashev
Israel Adesanya
Sam Adkins
Nick Agallar
Mariya Agapova
Fabio Agu
Marcello Aguiar
Jessica Aguilar
Kevin Aguilar
Jesus Aguilar
Christian Aguilera
Nick Aguirre
Ashiek Ajim
Omari Akhmedov
Yoshihiro Akiyama
Rostem Akman
Mostapha Al Turk
Razak Al-Hassan
Ali Al-Qaisi
Abdul-Kareem Al-Selwady
Herdem Alacabek
Alatengheili
Amir Albazi
John Albert
Junior Albini
Wes Albritton
Alexandra Albu
Ildemar Alcantara
Iuri Alcantara
Alfonso Alcarez
Irene Aldana
Hector Aldana
Gilbert Aldana
Jose Alday
José Aldo
JJ Aldrich
Irina Alekseeva
Talita Alencar
Jim Alers
John Alessio
Houston Alexander
Lucas Alexander
Marcio Alexandre
Olaf Alfonso
Bill Algeo
Royce Alger
Abdul Razak Alhassan
Amir Aliakbari
Sultan Aliev
Nurullo Aliev
Ikram Aliskerov
Leon Aliu
John Allan
Arnold Allen
Brendan Allen
Benny Alloway
Asu Almabayev
Bekzat Almakhan
Ericka Almeida
Thomas Almeida
Estefani Almeida
Cesar Almeida
Ricardo Almeida
Jailton Almeida
Lucas Almeida
Sarah Alpar
Victor Altamirano
Patricia Alujas
Eddie Alvarez
Jaime Alvarez
Sean Alvarez
Joel Álvarez
Amilcar Alves
Thiago Alves
Rafael Alves
Warlley Alves
Sam Alvey
Adlan Amagov
Alen Amedovski
Hyder Amil
Makwan Amirkhani
Jaqueline Amorim
Eryk Anders
Matt Andersen
Megan Anderson
Corey Anderson
Andy Anderson
Lowell Anderson
Tatsuya Ando
Jéssica Andrade
Viscardi Andrade
Alex Andrade
Jermaine Andre
Juan Andres Luna
Dylan Andrews
Reese Andy
Julius Anglickas
Collin Anglin
Chad Anheliger
Yoji Anjo
Magomed Ankalaev
Nina Nunes
Gadzhimurad Antigulov
Adam Antolin
Zu Anyanwu
Wang Anying
Shinsho Anzai
Aoriqileng
Josh Appelt
Romie Aram
Felipe Arantes
Viviane Araújo
Igor Araujo
Julio Arce
Carrese Archer
Alice Ardelean
Dan Argueta
Rheza Arianto
Hashem Arkhagha
Andrei Arlovski
Garrett Armfield
Austin Arnett
Eli Aronov
