,level_0,index,RedFighter,BlueFighter,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,Finish,TotalFightTimeSecs,index_Red,strike_accuracy_Red,takedown_accuracy_Red,connected_strikes_per_minute_Red,absorved_strikes_per_minute_Red,strikes_defense_Red,takedown_defense_Red,takedown_avg_Red,submission_avg_Red,knockdown_avg_Red,avg_fight_time_Red,weight_Red,height_Red,reach_Red,age_Red,Wins_Red,Losses_Red,win_by_ko_tko_win_Red,win_by_ko_tko_win_percent_Red,win_by_dec_win_Red,win_by_dec_win_percent_Red,win_by_sub_win_Red,win_by_sub_win_percent_Red,index_Blue,strike_accuracy_Blue,takedown_accuracy_Blue,connected_strikes_per_minute_Blue,absorved_strikes_per_minute_Blue,strikes_defense_Blue,takedown_defense_Blue,takedown_avg_Blue,submission_avg_Blue,knockdown_avg_Blue,avg_fight_time_Blue,weight_Blue,height_Blue,reach_Blue,age_Blue,Wins_Blue,Losses_Blue,win_by_ko_tko_win_Blue,win_by_ko_tko_win_percent_Blue,win_by_dec_win_Blue,win_by_dec_win_percent_Blue,win_by_sub_win_Blue,win_by_sub_win_percent_Blue
0,0,2,ciryl gane,alexander volkov,Red,False,Heavyweight,1,3,0,4,0,5.13,0.57,0.2,0.45,0.63,4,4,44,0,0,1,4,6,1,0,12,1.0,200.66,203.2,250,0,1,0,5.49,0.6,0.5,0.58,0.21,7,2,33,3,0,0,3,4,2,0,9,1.0,193.04,205.74,245,34,36,S-DEC,900.0,306.0,0.61,0.25,5.26,2.23,0.62,0.44,0.7,0.61,0.26,14.25,245.5,76.0,81.0,34.0,13.0,-2.0,6.0,0.46,4.0,0.31,3.0,0.23,919.0,0.57,0.67,4.97,2.99,0.54,0.72,0.61,0.24,0.24,12.95,254.5,79.0,80.0,36.0,38.0,-11.0,24.0,0.63,10.0,0.26,4.0,0.11
1,1,4,nate landwehr,dooho choi,Blue,False,Featherweight,1,3,0,1,1,4.41,0.53,0.8,0.75,0.37,3,3,15,0,0,0,0,4,0,0,4,1.0,177.8,177.8,145,0,1,0,6.25,0.46,1.0,1.0,0.41,3,3,17,0,1,0,1,1,2,0,5,1.0,175.26,182.88,145,36,33,KO/TKO,801.0,465.0,0.46,0.42,5.59,5.77,0.53,0.74,0.85,0.85,0.17,9.8,145.5,69.0,72.0,36.0,18.0,-6.0,9.0,0.5,7.0,0.39,2.0,0.11,156.0,0.56,0.54,4.67,4.02,0.56,0.48,1.43,0.61,0.81,8.18,146.0,70.0,70.0,33.0,16.0,-4.0,13.0,0.81,2.0,0.13,1.0,0.06
2,2,5,dominick reyes,anthony smith,Red,False,Light Heavyweight,1,3,1,0,0,3.24,0.49,0.6,0.46,0.26,3,12,63,1,0,1,1,7,6,0,15,1.0,193.04,193.04,205,0,1,0,4.87,0.5,0.3,0.35,0.28,6,4,21,2,0,1,1,4,1,0,7,0.0,193.04,195.58,205,34,36,KO/TKO,586.0,726.0,0.54,0.29,5.64,3.59,0.49,0.83,0.31,0.31,0.94,8.0,205.0,76.0,77.0,35.0,14.0,-4.0,9.0,0.64,3.0,0.21,2.0,0.14,815.0,0.49,0.24,3.2,4.88,0.45,0.5,0.44,0.61,0.39,9.85,205.5,76.0,76.0,36.0,38.0,-21.0,19.0,0.5,4.0,0.11,15.0,0.39
3,3,6,vicente luque,themba gorimbo,Red,False,Welterweight,1,3,0,4,0,3.11,0.61,0.6,4.89,0.65,4,1,12,0,0,0,3,1,0,0,4,1.0,185.42,195.58,170,1,0,0,5.07,0.52,0.6,1.0,0.53,6,6,47,0,0,1,1,8,5,0,15,1.0,180.34,190.5,170,33,33,SUB,52.0,501.0,0.52,0.54,5.05,5.22,0.53,0.63,0.99,0.71,0.71,9.62,170.5,71.0,75.5,33.0,23.0,-10.0,11.0,0.48,3.0,0.13,9.0,0.39,329.0,0.61,0.65,3.15,1.09,0.57,0.82,4.81,0.57,0.57,8.83,171.0,73.0,77.0,34.0,14.0,-5.0,2.0,0.14,6.0,0.43,6.0,0.43
4,4,7,movsar evloev,aljamain sterling,Red,False,Featherweight,1,3,0,1,0,4.61,0.52,0.7,2.31,0.27,9,4,57,5,0,2,7,2,4,0,16,1.0,170.18,180.34,145,0,8,0,4.43,0.48,0.2,4.75,0.46,8,0,24,0,0,1,7,0,0,0,8,1.0,170.18,182.88,145,30,35,U-DEC,900.0,270.0,0.48,0.48,3.99,2.66,0.61,0.61,4.67,0.22,0.0,15.0,145.5,67.0,72.5,31.0,19.0,0.0,3.0,0.16,12.0,0.63,4.0,0.21,836.0,0.52,0.3,4.41,2.21,0.59,0.43,2.51,0.69,0.0,13.37,145.5,67.0,71.0,35.0,24.0,-5.0,3.0,0.13,13.0,0.54,8.0,0.33
5,5,8,randy brown,bryan battle,Blue,False,Welterweight,1,3,0,3,0,5.44,0.53,0.5,0.96,0.23,3,1,16,0,0,0,1,3,2,0,6,1.0,185.42,195.58,170,0,3,0,4.38,0.47,0.6,0.72,0.39,4,5,43,0,0,1,6,3,3,0,13,1.0,190.5,198.12,170,34,30,S-DEC,900.0,114.0,0.47,0.39,4.35,3.24,0.54,0.73,0.81,0.59,0.37,10.68,171.0,75.0,78.0,34.0,19.0,-6.0,7.0,0.37,7.0,0.37,5.0,0.26,75.0,0.53,0.17,5.12,4.11,0.44,0.54,0.77,0.39,0.39,8.62,175.0,73.0,77.0,30.0,13.0,-2.0,4.0,0.31,3.0,0.23,6.0,0.46
6,6,10,cody durden,joshua van,Blue,False,Flyweight,1,3,0,1,0,8.39,0.53,0.0,1.62,0.63,3,1,14,0,0,1,2,1,0,0,4,1.0,165.1,165.1,125,0,1,1,3.35,0.5,0.9,4.36,0.5,4,4,24,0,0,0,4,1,1,0,6,0.0,170.18,170.18,125,33,23,U-DEC,900.0,244.0,0.46,0.48,3.52,4.29,0.49,0.73,4.06,0.76,0.13,9.85,126.0,67.0,67.0,33.0,17.0,-7.0,6.0,0.35,5.0,0.29,6.0,0.35,899.0,0.54,0.64,8.88,5.82,0.6,0.81,1.32,0.0,0.19,13.32,126.0,65.0,65.0,23.0,12.0,-2.0,6.0,0.5,4.0,0.33,2.0,0.17
7,7,11,michael chiesa,max griffin,Red,False,Welterweight,1,3,0,1,0,3.92,0.49,0.3,1.45,0.41,3,8,44,0,1,2,2,3,0,0,8,1.0,180.34,193.04,170,0,1,0,1.86,0.4,1.0,3.35,0.51,4,7,41,1,0,0,5,0,7,0,12,0.0,185.42,190.5,170,37,39,SUB,716.0,154.0,0.4,0.49,1.81,1.66,0.55,0.62,3.3,1.05,0.08,9.33,170.5,73.0,75.5,37.0,20.0,-7.0,0.0,0.0,7.0,0.35,13.0,0.65,337.0,0.49,0.41,3.75,3.66,0.58,0.7,1.37,0.27,0.55,12.92,170.0,71.0,76.0,39.0,20.0,-11.0,9.0,0.47,8.0,0.42,2.0,0.11
8,8,13,kennedy nzechukwu,lukasz brzeski,Red,False,Heavyweight,1,3,1,0,0,4.9,0.5,0.5,0.46,0.5,1,4,14,0,0,0,1,0,1,0,2,1.0,193.04,198.12,236,0,1,0,5.34,0.47,0.2,0.58,0.45,3,5,31,0,0,1,1,6,1,0,9,0.0,195.58,210.82,205,32,32,KO/TKO,291.0,625.0,0.47,0.45,5.37,4.89,0.51,0.81,0.56,0.22,0.45,8.95,236.5,77.0,83.0,32.0,14.0,-5.0,10.0,0.71,3.0,0.21,1.0,0.07,119.0,0.5,0.33,5.02,3.68,0.55,0.37,0.43,0.43,0.0,10.02,234.0,75.0,78.0,32.0,9.0,-6.0,6.0,0.67,2.0,0.22,1.0,0.11
9,9,15,yan xiaonan,tabatha ricci,Red,False,Women's Strawweight,0,3,0,2,0,4.18,0.36,0.1,2.74,0.37,4,2,22,0,0,1,4,0,1,0,6,1.0,154.94,154.94,115,1,0,0,4.99,0.45,0.0,0.92,0.73,6,3,34,1,1,0,6,1,0,0,8,1.0,165.1,160.02,115,35,29,U-DEC,900.0,945.0,0.45,0.73,4.99,3.44,0.6,0.63,0.92,0.0,0.17,15.03,116.0,65.0,63.0,35.0,19.0,-4.0,8.0,0.42,10.0,0.53,1.0,0.05,732.0,0.36,0.38,4.18,5.29,0.58,0.82,2.74,0.12,0.0,13.37,115.5,61.0,61.0,29.0,11.0,-3.0,1.0,0.09,7.0,0.64,3.0,0.27
